t,score,shape,power_db,rssi,state
0.155,-0.234,0.418,0.143,-56.0,0
0.276,-0.506,0.375,-0.075,-56.0,0
0.420,-0.699,0.371,-0.013,-56.0,0
0.576,-0.745,0.430,-0.018,-56.0,0
0.699,-0.735,0.463,-0.021,-56.0,0
0.819,-0.673,0.518,0.013,-56.0,0
0.990,-0.510,0.613,-0.085,-55.9,0
1.139,-0.396,0.665,0.023,-55.9,0
1.294,-0.198,0.753,0.104,-55.8,0
1.472,-0.159,0.731,0.000,-55.9,0
1.619,-0.157,0.691,-0.079,-56.0,0
1.768,-0.181,0.688,-0.011,-56.0,0
1.892,-0.151,0.727,-0.036,-56.0,0
2.016,-0.089,0.760,-0.073,-56.0,0
2.157,-0.078,0.745,-0.055,-56.0,0
2.290,-0.056,0.762,-0.049,-56.0,0
2.434,-0.024,0.786,-0.005,-56.0,0
2.555,0.008,0.799,-0.004,-56.0,0
2.698,-0.005,0.769,-0.038,-56.0,0
2.824,0.012,0.763,-0.107,-56.0,0
2.950,0.003,0.729,-0.126,-56.1,0
3.091,-0.086,0.689,-0.053,-56.1,0
3.237,-0.182,0.648,-0.029,-56.2,0
3.367,-0.280,0.603,0.006,-56.2,0
3.537,-0.391,0.548,0.004,-56.2,0
3.659,-0.210,0.599,0.188,-56.1,0
3.780,-0.104,0.587,0.198,-56.0,0
3.928,-0.129,0.544,0.170,-56.0,0
4.051,-0.327,0.487,0.074,-56.0,0
4.183,-0.444,0.496,0.057,-56.0,0
4.322,-0.560,0.468,0.021,-56.0,0
4.466,-0.437,0.498,-0.184,-56.0,0
4.597,-0.501,0.462,-0.112,-56.0,0
4.738,-0.203,0.567,-0.271,-56.1,0
4.870,-0.194,0.529,-0.194,-56.1,0
5.009,-0.223,0.521,-0.177,-56.0,0
5.160,-0.308,0.527,-0.123,-56.0,0
5.338,-0.152,0.602,-0.222,-56.1,0
5.466,-0.164,0.593,-0.160,-56.0,0
5.608,-0.274,0.577,-0.074,-56.0,0
5.730,-0.273,0.587,-0.130,-56.0,0
5.878,-0.259,0.606,-0.125,-56.0,0
6.030,-0.331,0.568,-0.079,-56.0,0
6.207,-0.160,0.617,-0.216,-56.0,0
6.327,-0.068,0.601,-0.221,-56.1,0
6.448,0.017,0.610,-0.238,-56.1,0
6.597,0.177,0.626,-0.299,-56.0,0
6.717,0.137,0.590,-0.240,-56.1,0
6.876,-0.034,0.534,-0.172,-56.0,0
7.017,-0.309,0.499,-0.012,-56.0,0
7.138,-0.435,0.519,-0.031,-56.0,0
7.289,-0.524,0.501,-0.027,-56.0,0
7.444,-0.497,0.498,-0.125,-56.0,0
7.573,-0.203,0.562,-0.271,-56.1,0
7.713,-0.010,0.557,-0.290,-56.1,0
7.887,0.105,0.539,-0.301,-56.1,0
8.042,0.164,0.527,-0.300,-56.1,0
8.206,-0.123,0.472,-0.135,-56.0,0
8.407,-0.339,0.476,-0.081,-55.9,0
8.552,-0.477,0.489,-0.038,-55.9,0
8.710,-0.570,0.481,-0.003,-55.9,0
8.878,-0.597,0.502,-0.021,-55.8,0
9.042,-0.662,0.437,-0.055,-55.9,0
9.191,-0.594,0.467,-0.127,-55.9,0
9.348,-0.531,0.469,-0.144,-56.0,0
9.487,-0.517,0.457,-0.137,-56.0,0
9.631,-0.538,0.438,-0.130,-56.0,0
9.787,-0.386,0.486,-0.211,-56.1,0
